group,identifier,name,Grants,Amount Awarded
recipients,GB-CHC-1111035,Project John Limited,4,131826.45
recipients,GB-CHC-1111581,Moving On Durham,3,34910.35
recipients,GB-CHC-1111713,HAFS,4,27497.11
recipients,GB-CHC-1112095,FAD,3,110000.0
recipients,GB-CHC-1112326,"Friends, Families and Travellers",4,107649.0
recipients,GB-CHC-1113125,St Joseph's Hospice Hackney,4,181189.61
recipients,GB-CHC-1113330,Disabled Sailing Association,4,41905.47
recipients,GB-CHC-1113379,Folkestone Youth Project/The Shed,3,19996.67
recipients,GB-CHC-1114148,Kiran Support Services,3,597687.0
recipients,GB-CHC-1114558,Blackpool Carers' Centre,3,560903.93
recipients,GB-CHC-1115222,Sport 4 Life UK,3,443000.0
recipients,GB-CHC-1115595,Ability Bow ,3,114746.06
recipients,GB-CHC-1116381,Ups and Downs Southwest,3,15779.25
recipients,GB-CHC-1116957,Newcastle and Gateshead Arts Studio Ltd,6,102628.9
recipients,GB-CHC-1117141,The Derbyshire Federation for Mental Health,4,92817.21
recipients,GB-CHC-1117244,ShareAction,3,685000.0
recipients,GB-CHC-1118360,People and Drugs Ltd (Silx Teen Bar),9,40815.91
recipients,GB-CHC-1118525,IntoUniversity,3,180000.0
recipients,GB-CHC-1118727,Women In Prison,5,488000.0
recipients,GB-CHC-1119136,Havelock Family Centre,3,180000.0
recipients,GB-CHC-1119798,Southampton Women's Aid,3,24835.25
recipients,GB-CHC-1120120,Upper Teesdale Agricultural Support Services Ltd,3,22024.96
recipients,GB-CHC-1120156,The Bereavement Counselling Service,3,15568.619999999999
recipients,GB-CHC-1120322,Omega Care for Life,3,129000.0
recipients,GB-CHC-1120562,Khulisa,3,118500.0
recipients,GB-CHC-1120694,Charnwood 20:20 (t/a TwentyTwenty),3,71600.0
recipients,GB-CHC-1120857,The Hextol Foundation,3,102500.0
recipients,GB-CHC-1121347,CCBC,4,398506.0
recipients,GB-CHC-1121605,Health and Local Food for Families,3,125107.0
recipients,GB-CHC-1121801,"Alnwick Young People's Association, Gallery Youth",4,301366.36
recipients,GB-CHC-1122405,St Albans Community Association,3,44996.0
recipients,GB-CHC-1122532,Cathays and Central Youth and Community Project,4,27109.71
recipients,GB-CHC-1122852,A Band of Brothers,4,183450.0
recipients,GB-CHC-1123017,Reading Community Learning Centre Ltd,3,24348.12
recipients,GB-CHC-1123615,Merthyr and the Valleys Mind,3,86058.99
recipients,GB-CHC-1124328,Gatwick Detainees Welfare Group,3,90000.0
recipients,GB-CHC-1124492,Carefree Cornwall,3,245000.0
recipients,GB-CHC-1125477,Thurrock Open Door,3,503645.0
recipients,GB-CHC-1125695,Heel and Toe Childrens Charity,10,44377.36
recipients,GB-CHC-1125808,Caritas Diocese of Salford,3,425786.94
recipients,GB-CHC-1126646,Bristol Refugee Rights,3,93304.54000000001
recipients,GB-CHC-1126682,Somerset and Avon Rape and Sexual Abuse Support (SARSAS),4,172020.0
recipients,GB-CHC-1126806,The Reader Organisation,4,1437183.0
recipients,GB-CHC-1127772,The Skinners' Almshouse Charity,3,58003.0
recipients,GB-CHC-1128330,INTACT,3,22360.08
recipients,GB-CHC-1128529,Dame Kelly Holmes Trust,3,162958.0
recipients,GB-CHC-1128731,Wimbleball Sailability,3,13180.33
recipients,GB-CHC-1128924,Llanhilleth Miners Institute Ltd,3,50000.0
recipients,GB-CHC-1128932,Home-Start Runnymede and Woking,4,14405.18
recipients,GB-CHC-1129521,Oasis Project,4,58140.06
recipients,GB-CHC-1129973,Age Concern Morgannwg,3,66012.58
recipients,GB-CHC-1130826,Moorvision,4,24789.269999999997
recipients,GB-CHC-1130994,Down Syndrome Training and Support Service Limited,3,21557.57
recipients,GB-CHC-1131118,Briardale Community Centre,3,12668.99
recipients,GB-CHC-1131301,St Paul with Emmanuel Parish Church,3,374109.0
recipients,GB-CHC-1131306,Oasis Cardiff,6,149135.82
recipients,GB-CHC-1131408,Emmaus North East (formerly Emmaus Gateshead),4,14913.81
recipients,GB-CHC-1131792,OPAL (Older People's Action in the Local Community),4,27145.11
recipients,GB-CHC-1131802,Working Chance,3,232000.0
recipients,GB-CHC-1131817,Women & Families Resource Centre,5,32768.64
recipients,GB-CHC-1132051,Action Foundation,7,122612.0
recipients,GB-CHC-1132181,Bishop's Castle Parochial Church Council,3,16722.12
recipients,GB-CHC-1132987,The Laughter Specialists Charitable Trust,3,11375.0
recipients,GB-CHC-1133284,Hope Housing Training and Support Ltd,3,39355.0
recipients,GB-CHC-1133739,West London Mission,3,170000.0
recipients,GB-CHC-1134236,The Trinity Centre,3,10073.18
recipients,GB-CHC-1134611,Action East Devon,4,16792.43
recipients,GB-CHC-1134829,The Parochial Church Council Of The Ecclesiastical Parish Of Congleton,3,22719.35
recipients,GB-CHC-1135005,Friends of Castle Wood School,5,10309.96
recipients,GB-CHC-1136363,Friends of Ysgol Maes Hyfryd,3,18000.0
recipients,GB-CHC-1136965,Oasis Community Hub: Waterloo,3,59459.18
recipients,GB-CHC-1136997,Stick 'n' Step,3,43246.43
recipients,GB-CHC-1137281,Headway Salisbury and South Wiltshire,3,18609.77
recipients,GB-CHC-1137319,My Sister's Place,5,675796.0
recipients,GB-CHC-1137438,Sale West Community Urban Trusts,3,15520.869999999999
recipients,GB-CHC-1137535,A Way Out,3,439298.82
recipients,GB-CHC-1137686,Hope into Action: East of England,4,353212.0
recipients,GB-CHC-1138675,Haxby & Wigginton Methodist Church,3,36615.38
recipients,GB-CHC-1139257,MS Society - Orkney Branch,9,39677.57
recipients,GB-CHC-1139355,The Oasis Centre - Cornwall,3,43858.83
recipients,GB-CHC-1139517,Home-Start Wirral,4,68403.3
recipients,GB-CHC-1139807,Reclaim Project Ltd,3,110412.91
recipients,GB-CHC-1139817,ROC,3,260187.36
recipients,GB-CHC-1139825,Outset Youth Action,3,34686.020000000004
recipients,GB-CHC-1140385,Greater Manchester Community Chaplaincy,4,46344.4
recipients,GB-CHC-1140498,Pennine Lancashire Community Farm,3,84805.32
recipients,GB-CHC-1140822,Justlife Foundation,3,649561.0
recipients,GB-CHC-1141651,Coventry Rugby Community Foundation Ltd,3,22360.0
recipients,GB-CHC-1141966,XTND- Improving Futures,4,31636.65
recipients,GB-CHC-1142067,Leicester LGBT Centre,5,262627.0
recipients,GB-CHC-1142084,The Welcome,5,32440.46
recipients,GB-CHC-1142217,Barlow Moor Community Association Limited,3,376702.74
recipients,GB-CHC-1142234,North Street Methodist Community Church,4,30572.0
recipients,GB-CHC-1142543,Opportunity Sports Foundation,3,25690.0
recipients,GB-CHC-1143655,Malvern Special Families,3,16262.76
recipients,GB-CHC-1143678,Restore (York) Ltd,5,109868.84
recipients,GB-CHC-1144453,Tyne Gateway Trust,9,589386.2
recipients,GB-CHC-1144522,CFLC,3,15554.02
recipients,GB-CHC-1144976,Scotswood Natural Community Garden Limited,3,129985.0
recipients,GB-CHC-1145816,RASASC Guildford,3,100836.0
recipients,GB-CHC-1145818,Sight Advice South Lakes,3,15296.06
recipients,GB-CHC-1146074,Burnage Good Neighbours,3,30314.61
recipients,GB-CHC-1146149,Contact the Elderly,6,193983.71000000002
recipients,GB-CHC-1146188,Handcrafted Projects,3,67710.0
recipients,GB-CHC-1146471,Bill Quay Community Farm Association,4,36604.880000000005
recipients,GB-CHC-1146714,The Hinge Centre Limited ,3,86264.31
recipients,GB-CHC-1147048,Reading Repertory Theatre,3,33500.0
recipients,GB-CHC-1147232,Garnsychan Partnership,3,11980.4
recipients,GB-CHC-1147913,Rights of Women,3,269890.0
recipients,GB-CHC-1148195,Woodcraft Folk,17,56410.22
recipients,GB-CHC-1148676,Breathing Space,4,7296.27
recipients,GB-CHC-1148855,Neuromuscular Centre Midlands,7,37300.0
recipients,GB-CHC-1149085,St Mungo's,12,1091711.0
recipients,GB-CHC-1149785,Kingstanding Regeneration Trust,8,510633.0
recipients,GB-CHC-1149932,Next Steps Mental Health Resource Centre,4,86966.39
recipients,GB-CHC-1150049,CentrePeace,4,153719.96
recipients,GB-CHC-1151763,BIRCH Network,3,12000.0
recipients,GB-CHC-1151897,Greater Manchester Youth Network,3,204879.94
recipients,GB-CHC-1151911,Sufra NW London,3,117500.0
recipients,GB-CHC-1152146,e:merge (UK) Company Ltd,3,52583.57
recipients,GB-CHC-1152426,Key4Life CIO,4,353752.0
recipients,GB-CHC-1152592,Peterborough Asylum and Refugee Community Association (PARCA),3,31412.0
recipients,GB-CHC-1152702,BD4 Community Trust,3,25770.93
recipients,GB-CHC-1152724,Walsall Bereavement Support Service,3,4403.24
recipients,GB-CHC-1152785,Cleveland Housing Advice Centre CIO (CHAC),4,81100.0
recipients,GB-CHC-1152836,Bardsley Youth Project,3,10879.0
recipients,GB-CHC-1154450,Framwellgate Moor Youth & Community Association,3,18806.21
recipients,GB-CHC-1154766,Arch North East,4,219400.0
recipients,GB-CHC-1154939,Kamelia Kids Day Nursery,4,27030.69
recipients,GB-CHC-1155092,Muslim Women's Network UK Limited,3,648286.0
recipients,GB-CHC-1155286,Immigration Law Practitioners' Association,4,441000.0
recipients,GB-CHC-1155313,Devon and Cornwall Food Action,4,16256.79
recipients,GB-CHC-1155389,Pure Insight,4,41411.99
recipients,GB-CHC-1155649,Monty's Community Hub,4,14772.13
recipients,GB-CHC-1155789,Xplode Magazine,3,74930.0
recipients,GB-CHC-1156237,Special Stars Foundation,4,213601.79
recipients,GB-CHC-1156690,Empire Fighting Chance,5,150300.0
recipients,GB-CHC-1156974,For Jimmy,3,99176.0
recipients,GB-CHC-1157297,Action for Conservation,3,105000.0
recipients,GB-CHC-1157578,Bright Futures NE,10,122887.0
recipients,GB-CHC-1158320,Woodworks Project,4,18370.0
recipients,GB-CHC-1158666,Balloons,3,270157.77
recipients,GB-CHC-1158700,Hubbub Foundation UK,4,361240.0
recipients,GB-CHC-1158926,Mental Fight Club,3,102050.4
recipients,GB-CHC-1160390,WHISH (Whitby Hidden Impairments Support and Help),4,29602.260000000002
recipients,GB-CHC-1160545,Special Kids Bexhill,4,17323.96
recipients,GB-CHC-1160589,Forest of Hearts,4,17749.84
recipients,GB-CHC-1160644,Pete's Dragons,3,15101.75
recipients,GB-CHC-1161102,The Proud Trust,4,58430.0
recipients,GB-CHC-1161177,Men in Sheds Hull,4,41326.71
recipients,GB-CHC-1161597,Oxford Against Cutting,3,13000.0
recipients,GB-CHC-1162038,Shine@NechellsPOD,3,34700.0
recipients,GB-CHC-1162624,Second Thoughts East Yorkshire,3,41391.72
recipients,GB-CHC-1162835,York Road Project,3,28189.08
recipients,GB-CHC-1163421,The Wave Project,3,21479.46
recipients,GB-CHC-1163542,Care & Repair Cymru 2015,3,554077.0
recipients,GB-CHC-1163582,Silverline Memories,4,53818.06
recipients,GB-CHC-1164021,The Blagrave Trust,3,495000.0
recipients,GB-CHC-1164771,Camberley Alzheimer Cafe CIO,4,14246.24
recipients,GB-CHC-1165136,Vulcan Learning Centre,4,23650.0
recipients,GB-CHC-1165624,Plot 22,3,26991.41
recipients,GB-CHC-1166057,LandWorks,4,67800.0
recipients,GB-CHC-1166448,Vikings Sports Foundation,3,20280.0
recipients,GB-CHC-1166802,Brighton Pebbles,3,14038.26
recipients,GB-CHC-1167919,Opening Doors London,3,130000.0
recipients,GB-CHC-1168381,Friends of Cricklewood Library,3,54822.22
recipients,GB-CHC-1168729,"The Park, Kilnwick",3,14741.279999999999
recipients,GB-CHC-1169026,Mentor Link,4,19008.0
recipients,GB-CHC-1169421,The UTS Foundation (Underground Training Station),5,51856.53
recipients,GB-CHC-1170448,Daventry Area Community Transport (DACT),3,53194.32
recipients,GB-CHC-207720,Action On Hearing Loss,4,120100.0
recipients,GB-CHC-208078,Surrey North Area Cruse Bereavement Care,7,35772.39000000001
recipients,GB-CHC-209603,Margate RNLI,9,19918.68
recipients,GB-CHC-210807,Yorkshire Wildlife Trust,4,743628.0
recipients,GB-CHC-211015,Stroke association Wigan and Leigh support group,5,508472.97000000003
recipients,GB-CHC-211535,Alexandra Rose Charity ,5,840060.0
recipients,GB-CHC-211850,Toynbee Hall,3,501370.0
recipients,GB-CHC-212424,The Royal Society of the Arts,4,1164197.0
recipients,GB-CHC-214293,St Andrews House,3,11935.619999999999
recipients,GB-CHC-214779,Waltham Abbey Salvation Army,7,11017.8
recipients,GB-CHC-216250,"Barnardos, Safer Futures,",3,20645.34
recipients,GB-CHC-219278,Prison Advice & Care Trust,4,274000.0
recipients,GB-CHC-219432,Samaritans,4,87960.22
recipients,GB-CHC-220949,The British Red Cross Society,4,645798.6
recipients,GB-CHC-230750,"Gingerbread, The Charity for Single Parent Families",7,981503.0
recipients,GB-CHC-237778,Sailors' Society,3,25969.78
recipients,GB-CHC-237956,Braintree District Mencap Society,3,92774.64
recipients,GB-CHC-247430,Sussex Association of Spina Bifida & Hydrocephalus,4,40115.380000000005
recipients,GB-CHC-249359,"St. Michael's Church, Farnsfield",3,25219.989999999998
recipients,GB-CHC-250277,Philharmonia Orchestra,3,268680.0
recipients,GB-CHC-250527,Scarborough YMCA,4,17603.37
recipients,GB-CHC-251549,Elim Life Church Kingstanding,12,39157.56
recipients,GB-CHC-256335,Designability,3,68158.0
recipients,GB-CHC-258197,Parkinson's UK,7,13572.3
recipients,GB-CHC-261009,The Conservation Volunteers (TCV),5,1066729.72
recipients,GB-CHC-261017,Macmillan Cancer Support,5,310750.0
recipients,GB-CHC-261994,Cambridge Cyrenians,4,236451.65
recipients,GB-CHC-264359,London Bubble,4,224000.0
recipients,GB-CHC-264713,Family Action,6,1050987.0
